recipient,amount,error
925yyVT2iX4xTpZ2Vz21aV5e5DyCJmk7LYgMfFUje2pP,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
3TEKF64EMPkbNPbwmeoMGwNN9oEXUPJuyY4h45KvRZpa,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
36qmQWZvuKniF3cKHuMvcQZcXJp2LtLMTHkVmxZSZBd6,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
HbNEEwcYNB2vo5FUGDGHP1UhETpvAL1ZXuXzKXu5XzWd,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
HpkbhhSc7xPz9bKgmoN5xtjrgyyM9DfQo87ZWQH84hXN,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
GoaozvSns985xKWPNpttY9fWtLh4zcFuSGu4FYKcDfr6,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7QYJHDjvSykS7F8KQtdDUuP1jHgab1tPkTeetjAfGgDx,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
6wBniYzgk35ZQcQ2irTWwzNF9mnfJukbxf2aifhsu2qY,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
49Lx6mDq9oakdUW7T83TA6dtcRULgcdT2hqMVWZJt7rC,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
2KXnGYgGSjvibwJANbRsVeDQw6eRjodhG8UskBsLArKNl,4500.000000,error: Invalid value for '<RECIPIENT_ADDRESS or RECIPIENT_TOKEN_ACCOUNT_ADDRESS>': No such file or directory (os error 2)
Hiu7nHpsS38CwvkY1WbMbB3jqxnkpQEvXQUH7kLhZmRB,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
ByRF4RrRLVSAEEiDmVSXrkGvzv6FxfTaTe859KKLF48Y,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
EeoFwMXtoPRaqwy7r3hZb4fP4ZChRobdRTxBDx1fvD6R,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
BgtAAUpoxw5enLiEX4VHLtWdrD3hbV3MEBsoPDbh9y7z,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
HGLK8jyFEVExkUsRMDqfWR6Kckxt8NuxzkjCLMShy8GK,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
