recipient,amount,error
DxdPDe76H51nYYDJ8ro55NwKp1Mz8dWJvu9Q3xS9wpxU,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
J94BAroQ4GUqntX7sY4DduAv76wiXb8iJBT8SuYXoozW,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4FRcffBTnMNrD3RgWnWoznSKWY7HB6EoYd8cWMa8HMmW,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
8REMhj8PSGEtgmga4uZRfTMhJoarCD1wEz9JtijTthmR,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8UdRD1JaNJrrTNm7DJbnsKUA9XFJdYyxHqzKQYWbEGeB,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
UyEQKrpx46BtiCgFQrjgx6w4nBj5RsVQZRg2X9tEWue,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4v29ddwuMoujsqoww8HwYENp5wzwxdwijP6Qi8EFHATe,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
DfPFnqMVEuxX4vfBuScKXuaQJ6Bb95ubJvNMDTF3Q78B,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
HZc9i5LjeVUe9NLLDy39fExX41HZhjQy7YPbZfVuJxGo,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
99oCCo1NiaAWUq2ZWcbdHi12P1gp2n3Xz49y64pJxzxp,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8pJqPzHyAc1L1jkyaLcM1C8RaYAqTv62FRVXLekjS6TH,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
83pGk36KBqsDfdiLUsrjx12U2PGouttfGxboWyuRB9Td,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
